,energy,torsion_0,torsion_1
566,-46.40305688137934,90,160
567,-46.3492541998921,45,10
568,-46.408470614031984,150,85
569,-46.3519401729678,330,335
570,-46.3696845317651,350,230
571,-46.317317275661054,95,0
572,-46.362573867266036,350,280
573,-46.384727806031634,260,235
574,-46.377509585100626,220,270
575,-46.36518797772706,345,300
576,-46.40338404975208,65,85
577,-46.42742597695823,240,80
578,-46.37810920252056,230,135
579,-46.3854509531175,195,355
580,-46.39247570240505,210,0
581,-46.397715520786136,215,305
582,-46.4047337300149,35,60
583,-46.356285888562724,0,270
584,-46.40606317062159,70,80
585,-46.395814255431304,75,220
586,-46.39675411598219,235,330
587,-46.38039943408998,95,145
588,-46.42412034706538,170,175
589,-46.40726366968042,295,220
590,-46.42753714933471,190,170
591,-46.40515013421239,340,200
592,-46.418816011985626,200,95
593,-46.39079300195468,235,345
594,-46.3931408532645,195,5
595,-46.340301941394245,55,345
596,-46.33452358946735,40,345
597,-46.421852012285484,315,65
598,-46.3508968597653,335,130
599,-46.348726783279545,155,245
600,-46.39116557965994,105,200
601,-46.35902799822614,90,30
602,-46.38934591574204,215,110
603,-46.402911363426,15,170
604,-46.386263488424646,200,340
605,-46.32892930442463,110,315
606,-46.4041915472184,240,310
607,-46.327237534236446,120,285
608,-46.39260020853081,105,165
609,-46.33604680220091,80,335
610,-46.43885237932378,245,70
611,-46.37866593064169,45,105
612,-46.392560237489334,250,150
613,-46.403389337232994,260,155
614,-46.310114264302314,105,345
615,-46.440893652472965,175,45
616,-46.388613191620465,215,345
617,-46.4160890990764,90,175
618,-46.34062459494541,90,280
619,-46.39273374521596,110,170
620,-46.374739721817974,150,145
621,-46.3772917555971,20,150
622,-46.388754943228406,205,355
623,-46.37764108576428,300,120
624,-46.4064505315512,40,220
625,-46.35661416089866,10,275
626,-46.43161765687492,260,180
627,-46.42651690751532,230,190
628,-46.37184512086574,340,285
629,-46.39183121572907,220,335
630,-46.388718097584075,250,105
631,-46.38570090316378,70,130
632,-46.37587157186195,145,150
633,-46.37499174931949,255,130
634,-46.39021770138609,310,230
635,-46.367673433606086,140,110
636,-46.41312090329521,180,25
637,-46.38951390403619,5,215
638,-46.40401910956584,295,150
639,-46.39018640966643,200,290
640,-46.32640701481884,85,345
641,-46.393404486828985,30,225
642,-46.342479225505,150,330
643,-46.39766665050129,150,40
644,-46.36627773266659,320,335
645,-46.360416563467965,70,285
646,-46.38660293588808,55,235
647,-46.38918981253423,310,145
648,-46.350747099512006,40,320
649,-46.37749343948835,160,20
650,-46.38439182991024,295,350
651,-46.33820244149089,5,120
652,-46.37667094529175,245,265
653,-46.39676393161861,225,325
654,-46.39536009909867,340,70
655,-46.35044327796058,160,255
656,-46.30658946658795,125,355
657,-46.441242483208356,285,55
658,-46.36701752723528,0,35
659,-46.418723984977106,255,85
660,-46.31959852166901,130,260
661,-46.309661790467686,105,0
662,-46.36447185134918,35,115
663,-46.32086587969249,120,15
664,-46.44057891443097,210,35
665,-46.39800708180107,265,340
666,-46.39784620675104,230,100
667,-46.43178254189732,295,45
668,-46.40548772335737,325,75
669,-46.3891947042151,295,105
670,-46.360999668368464,155,295
671,-46.39347832955244,0,210
672,-46.38136194232098,75,125
673,-46.42952860695115,185,90
674,-46.44989680499518,220,45
675,-46.392142866570595,280,0
676,-46.366454967526835,350,90
677,-46.40681507299391,225,160
678,-46.3285950393109,130,280
679,-46.400815338460035,250,10
680,-46.37129849511902,355,85
681,-46.39657322810169,80,50
682,-46.44147754737426,250,45
683,-46.384813929385956,290,250
684,-46.40176661862151,85,65
685,-46.34185708993934,330,350
686,-46.42698856473933,240,30
687,-46.371358341882086,95,135
688,-46.361612499141785,25,260
689,-46.44229431872449,280,60
690,-46.382270456715304,100,210
691,-46.36804761469935,45,260
692,-46.367299605230954,100,40
693,-46.36797024590541,50,260
694,-46.392394173992585,305,20
695,-46.38239288059364,215,135
696,-46.42971166354741,215,180
697,-46.36741804125509,35,255
698,-46.40598308235465,310,295
699,-46.39210303438804,20,70
700,-46.373348050286864,165,305
701,-46.389676744667526,315,95
702,-46.41105614093047,155,195
703,-46.40033428201153,185,15
704,-46.40139713617876,150,200
705,-46.3881366574299,175,140
706,-46.33710973256106,355,120
707,-46.377393425655754,225,235
708,-46.35620199044641,105,35
709,-46.43516512500318,220,80
710,-46.43427910661748,240,75
711,-46.371347701922986,185,245
712,-46.3679777713526,120,100
713,-46.42280504465654,295,80
714,-46.40851823706495,230,210
715,-46.38897628096478,105,75
716,-46.3977080892997,325,160
717,-46.382253414704195,290,130
718,-46.39763973717609,290,335
719,-46.3973607927318,110,180
720,-46.426248290396614,310,65
721,-46.34728220074376,345,135
722,-46.417413750146096,185,25
723,-46.41331692794765,205,160
724,-46.403253380477025,25,215
725,-46.418680139937834,325,180
726,-46.40600734633924,255,15
727,-46.433286822401584,285,200
728,-46.39707104962375,215,220
729,-46.37826695490432,250,115
730,-46.35718919890772,0,275
731,-46.371099699828136,330,25
732,-46.4298751678252,75,195
733,-46.3439490667312,330,345
734,-46.37541795182133,95,140
735,-46.421102964602,190,95
736,-46.39650991699253,265,100
737,-46.3961979750849,285,270
738,-46.366633654848755,345,150
739,-46.370418092415235,200,250
740,-46.398543908237656,140,190
741,-46.33800682773594,95,285
742,-46.41879288944588,80,165
743,-46.35831140215359,325,120
744,-46.32917369925141,100,275
745,-46.41943065600569,245,25
746,-46.38285014028136,320,25
747,-46.38392417483183,85,220
748,-46.42063343912858,210,205
749,-46.37807479584532,125,160
750,-46.368948602757456,340,30
751,-46.36797309341247,315,125
752,-46.367507584737524,345,290
753,-46.382112297492625,55,110
754,-46.39490994819752,20,60
755,-46.42802892439019,205,200
756,-46.39033422391387,145,205
757,-46.381404289498136,210,125
758,-46.432361518915314,305,195
759,-46.42560950989096,285,80
760,-46.39009051999099,70,100
761,-46.38024053328175,0,160
762,-46.43664324128369,255,40
763,-46.41764054822241,240,170
764,-46.41253981198511,185,100
765,-46.33940743041509,70,340
766,-46.37666927513985,95,100
767,-46.36793200632715,170,240
768,-46.39522908695514,220,150
769,-46.33045401784912,95,265
770,-46.39974602534974,335,70
771,-46.43052750120111,230,80
772,-46.42216583862265,180,30
773,-46.38141121547832,50,240
774,-46.43354530848384,175,85
775,-46.37547220396769,250,245
776,-46.36456675608363,175,250
777,-46.43086854618505,255,185
778,-46.3680796166274,330,320
779,-46.336400782937375,95,245
780,-46.43392685763271,175,40
781,-46.39800145720969,280,10
782,-46.45665562193696,190,70
783,-46.389904767922275,320,225
784,-46.4068779100098,315,160
785,-46.36147784169677,50,310
786,-46.38300208889885,125,200
787,-46.353919117129266,15,25
788,-46.3939791724803,200,225
789,-46.40502363539426,310,305
790,-46.43728559235089,285,195
791,-46.39180680414316,135,85
792,-46.37299833620054,140,105
793,-46.4398906173607,280,185
794,-46.41492516564941,285,215
795,-46.410235825414105,45,60
796,-46.344158764929574,10,110
797,-46.403163485152305,220,215
798,-46.37706986833504,230,120
799,-46.39087252495895,80,45
800,-46.45970050825585,200,65
801,-46.32035696918243,125,270
802,-46.39256252758358,125,185
803,-46.41399753646894,300,85
804,-46.36511100395856,110,215
805,-46.36775545802092,165,285
806,-46.36290957341723,330,105
807,-46.41115377191662,245,90
808,-46.320847272881196,130,265
809,-46.43378383968306,265,180
810,-46.4013191270561,265,335
811,-46.4062041775766,250,320
812,-46.39795973749122,210,105
813,-46.33775327653282,15,320
814,-46.36027227124461,145,225
815,-46.42118425361949,160,45
816,-46.40741640687625,20,170
817,-46.32052352320872,90,350
818,-46.36264707839811,100,120
819,-46.34474606526916,120,225
820,-46.39908603027365,355,175
821,-46.338607634256476,50,350
822,-46.3873788580959,50,235
823,-46.412028646808864,215,210
824,-46.32957307911053,120,290
825,-46.45324864402053,195,45
826,-46.386228111989595,210,115
827,-46.37848965322425,315,245
828,-46.40972162714749,300,155
829,-46.37823476096335,225,120
830,-46.363957134960884,50,305
831,-46.37319993721084,315,335
832,-46.41699556058555,300,160
833,-46.424431288849604,215,25
834,-46.35326194143468,75,315
835,-46.3800353082585,185,335
836,-46.36936516268932,60,250
837,-46.39649602681109,65,225
838,-46.34823371412031,10,105
839,-46.41784499368336,175,95
840,-46.380099487338924,230,115
841,-46.37303357619058,340,90
842,-46.41179067069598,260,20
843,-46.32443744999202,90,340
844,-46.334360668524795,0,15
845,-46.439535429162135,285,65
846,-46.386903882854455,185,5
847,-46.3678618321467,325,105
