,constrained_energy,relaxed_energy,torsion_0,torsion_1,relaxed_torsion_0,relaxed_torsion_1
241,-36.780125766914296,-37.42884103677258,170,170,150,210
242,-36.770346154346896,-37.42875388788448,210,280,90,270
243,-36.75866566686577,-37.75872990855095,40,310,30,360
244,-36.860479042623695,-37.43393672521418,120,100,90,90
245,-36.76386528653126,-37.42888075192738,10,230,150,210
246,-36.80031255222892,-37.81719321369249,70,160,30,180
247,-36.74710133784774,-37.38462419684623,250,190,300,270
248,-36.7982975850083,-37.81720949684319,160,140,30,180
249,-36.82533248222961,-37.42865431636636,140,260,90,270
250,-36.785788354104085,-37.43392553338771,170,10,150,30
251,-36.78070414377015,-37.428859055915325,170,180,150,210
252,-36.78028591920656,-37.75873244320775,90,330,30,360
253,-36.74080059178752,-37.377437738173995,330,10,300,30
254,-36.81537643461925,-37.37514232191916,330,100,300,60
255,-36.720491142253735,-37.384621266893305,330,150,300,210
256,-36.778407767195944,-37.38462471766448,270,290,300,270
257,-36.815325952518634,-37.424459415303915,100,190,120,240
258,-36.794527118331644,-37.428873324526336,80,300,90,270
259,-36.799446934004294,-37.43393287172688,80,0,90,90
260,-36.86199553830775,-37.43393002120766,80,80,90,90
261,-36.74829125719634,-37.42889090857045,230,200,90,270
262,-36.69435094914172,-37.37731177280659,320,340,300,30
263,-36.77330038268909,-37.81720429901864,40,150,30,180
264,-36.80538227596628,-37.42831563262038,210,70,120,60
265,-36.81936383627621,-37.42426776339792,130,290,120,240
266,-36.74103203057004,-37.758740763057034,210,150,210,180
267,-36.746243263642384,-37.428884069663496,220,300,90,270
268,-36.81761500813923,-37.43393661469213,90,10,90,90
269,-36.78494997551857,-37.43388232669653,210,100,150,30
270,-36.8357314817174,-37.433653322169334,70,30,120,90
271,-36.79027948458287,-37.42887684374412,190,290,90,270
272,-36.76724349425504,-37.428880568523766,220,260,150,210
273,-36.69725119107008,-37.384575045037394,320,330,300,270
274,-36.80744346399979,-37.4288850626194,90,170,90,270
275,-36.812403588654945,-37.384618021726595,290,200,300,210
276,-36.76574126163703,-37.42889049314377,30,260,150,210
277,-36.706079144436586,-37.43393531445051,250,140,150,30
278,-36.867799981922275,-37.3844165613113,290,260,300,270
279,-36.77636542608545,-37.38461429116114,260,200,300,210
280,-36.79359830543447,-37.42888929811127,60,260,90,270
281,-36.81887719127536,-37.42888920509537,100,200,150,210
282,-36.80201782087681,-37.43393670682926,90,0,90,90
283,-36.81498667394709,-37.433937055055196,140,130,150,30
284,-36.766660934291025,-37.433834664241175,30,20,90,90
285,-36.76017512147013,-37.42888576893833,0,280,150,210
286,-36.77620005665756,-37.43393549091368,230,30,150,30
287,-36.80200751108265,-37.43380157764199,210,80,150,30
288,-36.79453998433203,-37.38462428200447,260,210,300,210
289,-36.74344972295677,-37.3846126956515,260,300,300,270
290,-36.78851351279428,-37.42882349564084,50,220,150,210
291,-36.731451698571334,-37.43392664977614,220,0,150,30
292,-36.791441185788926,-37.38461998775682,340,210,300,210
293,-36.78054891652516,-37.433850893166834,160,0,150,30
294,-36.79094306403957,-37.38433532231852,270,200,300,210
295,-36.77762823934782,-37.81721008117958,160,330,210,360
296,-36.70669062013047,-37.433923447310406,0,0,90,90
297,-36.80732412325122,-37.42888769413622,80,170,90,270
298,-36.82716397390129,-37.3846231021667,300,280,300,270
299,-36.691772285973514,-37.43393562446491,0,340,150,30
300,-36.83490941092836,-37.37727811000323,300,30,300,30
301,-36.68680232601278,-37.43393623292647,350,340,90,90
302,-36.71489888058525,-37.433935326393,20,340,150,30
303,-36.771722952987176,-37.42882297731711,230,260,90,270
304,-36.82449304674856,-37.37743694114252,250,50,300,60
305,-36.777593523076575,-37.7587397453627,60,310,30,360
306,-36.77808416509106,-37.339997927943074,250,100,240,90
307,-36.743791644457986,-37.43393453382305,200,350,150,30
308,-36.8114014928295,-37.428739300853834,120,200,150,210
309,-36.78573850124627,-37.75873527911526,170,150,210,180
310,-36.6954971898744,-37.7587276152513,0,330,30,360
311,-36.82952771144949,-37.42833350720366,140,120,120,60
312,-36.79697172834139,-37.433937369537546,10,90,90,90
313,-36.81414504713564,-37.43393616833586,80,10,90,90
314,-36.8496463416549,-37.38462558127901,290,270,300,270
315,-36.72602643134431,-37.38460990165558,310,160,300,210
316,-36.771560971161875,-37.42889108415798,190,230,90,270
317,-36.81415649896539,-37.42888720472226,80,230,150,210
318,-36.78986801921263,-37.43393452073002,140,0,150,30
319,-36.7720141740034,-37.42888711104294,40,240,150,210
320,-36.80476804575733,-37.428885643048545,60,190,150,210
321,-36.80651247962143,-37.42872610190449,70,230,150,210
322,-36.73711985655186,-37.38460486940116,350,180,300,210
323,-36.782479727393536,-37.384621017128666,340,280,300,270
324,-36.769054322313906,-37.42888681136765,190,200,150,210
325,-36.76885698108478,-37.43393573644681,40,10,90,90
326,-36.80500508971332,-37.377435699099635,260,30,300,60
327,-36.73138610740105,-37.4288831124706,230,180,90,270
328,-36.76930280912754,-37.428882559461016,190,210,150,210
329,-36.86125749539755,-37.38012833833562,320,240,300,240
330,-36.81392537884116,-37.433936876155485,40,50,150,30
331,-36.74456110740388,-37.26001207288081,210,140,120,150
332,-36.8460164485447,-37.433935948809136,130,110,90,90
333,-36.80530978656731,-37.428885326781085,60,200,150,210
334,-36.781820656663484,-37.433891798051235,40,20,90,90
335,-36.74875320394179,-37.42888530136378,220,200,90,270
336,-36.73862654900279,-37.817199549841774,210,320,210,360
337,-36.69849389121782,-37.38462182445949,270,330,300,270
338,-36.84295131093822,-37.380226146139165,270,230,300,240
339,-36.81135959089838,-37.428539570486805,80,260,120,270
340,-36.71034954172438,-37.37717527242327,270,350,300,30
341,-36.74123879931935,-37.37744217393285,290,130,300,60
342,-36.74683592681768,-37.758723550918546,40,330,30,360
343,-36.824713740743135,-37.4247014366195,110,230,120,240
344,-36.80896165867716,-37.42887630872542,70,180,150,210
345,-36.784013956653354,-37.37742946140261,320,20,300,30
346,-36.732360659234644,-37.75873838202895,30,330,30,360
347,-36.785228109765,-37.42888347827986,240,250,90,270
348,-36.80647079619385,-37.42414425123977,110,180,120,240
349,-36.7321124883137,-37.42888257420577,220,170,90,270
350,-36.81247037108619,-37.43393562366256,200,60,90,90
351,-36.77169618714666,-37.428870011194135,230,250,90,270
352,-36.76236231876783,-37.428883149114796,10,220,90,270
353,-36.849388381069105,-37.38461507397756,270,240,300,270
354,-36.725183380361614,-37.428884424491315,10,310,150,210
355,-36.89225586648442,-37.377433578046805,290,60,300,60
356,-36.8423337059792,-37.433900143188225,80,100,90,90
357,-36.803722709472936,-37.37743986255441,270,100,300,60
358,-36.85695037001966,-37.43393605641597,70,70,90,90
359,-36.829007682046864,-37.37744187376322,280,30,300,30
360,-36.769699287447736,-37.43393634803351,20,30,90,90
361,-36.77477395180043,-37.43393539146203,220,100,150,30
362,-36.70357809269922,-37.38461989046317,290,330,300,270
363,-36.7075007534946,-37.37743767463249,260,140,300,60
364,-36.813963737274975,-37.37743577108472,260,90,300,60
365,-36.75713233647551,-37.81720433816017,190,330,210,360
366,-36.81674018208602,-37.384232231655574,330,270,300,270
367,-36.81658317090168,-37.428888353259424,150,250,90,270
368,-36.76139749186447,-37.38459100851392,300,180,300,210
369,-36.817022151712194,-37.37743067744486,280,100,300,60
370,-36.76554210010991,-37.42888885696166,30,280,150,210
371,-36.77753738560628,-37.43393593011169,150,350,150,30
372,-36.81552142136243,-37.38059778713969,340,250,300,240
373,-36.824620643255145,-37.384611965777424,320,210,300,210
374,-36.75239633784798,-37.81720167848047,200,320,210,360
375,-36.88081575125625,-37.42816253272284,130,60,120,60
376,-36.731923138525815,-37.81720839948895,210,330,210,360
377,-36.77552274042071,-37.38462364088298,250,280,300,270
378,-36.87699995726123,-37.43393628947118,120,50,150,30
379,-36.761654870242495,-37.428883964872426,30,290,150,210
380,-36.80919484912354,-37.43393311718336,80,130,90,90
381,-36.82520935000656,-37.42889074274598,130,280,90,270
382,-36.7514997452366,-37.35245876096147,240,290,240,270
383,-36.847326557312016,-37.43393588473529,170,60,150,30
384,-36.816637010583236,-37.38461940895911,280,280,300,270
385,-36.76976528164761,-37.433926664051825,230,100,150,30
386,-36.75660260075267,-37.428846032548336,210,220,90,270
387,-36.77325607396469,-37.33998383168691,350,30,0,30
388,-36.81643316001558,-37.37742714667621,250,80,300,60
389,-36.76554883843724,-37.43393249442471,0,30,90,90
390,-36.7871727018221,-37.42888090219327,150,170,150,210
391,-36.74862965362982,-37.42888193660846,0,290,150,210
392,-36.82768017964008,-37.42854368858477,130,270,120,270
393,-36.806827333023364,-37.433936957116,60,120,90,90
394,-36.70775007511571,-37.433937196090255,240,350,150,30
395,-36.85575592505958,-37.38462205798541,320,230,300,210
396,-36.704521359202744,-37.43393747279583,10,350,90,90
397,-36.808120162592786,-37.42881891701839,170,260,90,270
398,-36.876047203362276,-37.4339329329662,90,60,90,90
399,-36.81659434177351,-37.428889528209055,80,190,90,270
400,-36.700086215958805,-37.817201660804784,240,330,210,360
401,-36.76935090586613,-37.43393224974332,30,130,150,30
402,-36.8656492314191,-37.377442647481985,320,50,300,30
403,-36.75518652334051,-37.42889064841765,230,210,90,270
404,-36.72497998219433,-37.75872456630512,20,320,30,360
405,-36.80974491645304,-37.43390889098353,50,30,90,90
406,-36.79877997625178,-37.42489504108272,160,230,120,240
407,-36.80467432400803,-37.43392906311422,210,60,90,90
408,-36.72486443142344,-37.43378916321117,350,10,90,90
409,-36.80754387803162,-37.433929641055386,70,10,90,90
410,-36.70779887716455,-37.817208816036214,230,330,210,360
411,-36.80683138801106,-37.42888537690533,150,230,150,210
412,-36.74392029832063,-37.377443759987585,330,130,300,60
413,-36.79231307976062,-37.42819614644813,190,120,120,60
414,-36.795209972633785,-37.42888211930469,160,220,150,210
415,-36.81433754064636,-37.428164125215886,200,70,120,60
416,-36.762051897450334,-37.81720426716322,180,340,210,360
417,-36.737883959627226,-37.42888777971831,220,180,90,270
418,-36.79820970592806,-37.38453003760688,300,290,300,270
419,-36.80295038136339,-37.428888767680746,180,270,90,270
420,-36.78565702024747,-37.81720289879769,50,160,30,180
421,-36.798144645781804,-37.42889081705306,60,170,150,210
422,-36.71866711641948,-37.384626656761355,250,310,300,270
423,-36.763645530839085,-37.38462484916505,350,200,300,210
424,-36.885503617827425,-37.43392522514199,120,70,90,90
425,-36.81474544435693,-37.433935950181706,240,60,150,30
426,-36.83009070085248,-37.43392352204836,50,80,90,90
427,-36.82558128597739,-37.377433531666185,350,70,300,30
428,-36.79257866031094,-37.428768077983506,140,180,150,210
429,-36.818498892519216,-37.42858393776527,90,260,120,270
430,-36.74083894669374,-37.433934900117976,240,10,150,30
431,-36.82062079681185,-37.433935826575095,40,70,90,90
432,-36.77578163809244,-37.38462217273283,350,210,300,210
433,-36.860726319703616,-37.43393698342115,130,100,90,90
434,-36.79206912730743,-37.377427193311604,250,30,300,60
435,-36.8108027888687,-37.433920308535534,30,70,90,90
436,-36.81380604066874,-37.43387568380251,150,20,150,30
437,-36.826809065524884,-37.424567696407735,110,240,120,240
438,-36.73701839787515,-37.433934094076676,220,130,90,90
439,-36.818432230589394,-37.43392807104058,100,10,90,90
440,-36.880652589349864,-37.38461210794466,300,250,300,270
441,-36.78945523969415,-37.38033698595024,250,220,300,240
442,-36.88152357504788,-37.43393241954848,100,60,90,90
443,-36.75935490282623,-37.43393399241893,50,340,150,30
444,-36.749438699998194,-37.43393486457819,40,350,150,30
445,-36.8231864997953,-37.428884295025256,120,280,90,270
446,-36.84879719662467,-37.433565482495595,90,100,120,90
447,-36.7742112368513,-37.42888690118227,180,170,150,210
448,-36.73339442498124,-37.43393573859606,30,350,150,30
449,-36.81140411262791,-37.37744214521945,250,40,300,60
450,-36.8892619504484,-37.37520488926694,310,60,300,60
451,-36.707797056152,-37.384469852952975,270,150,300,210
452,-36.78705781686173,-37.428863967380806,170,220,150,210
453,-36.82591446168129,-37.42888938360477,130,250,90,270
454,-36.84513861152206,-37.377399563234064,260,70,300,60
455,-36.81913840767649,-37.42857707085852,110,210,150,210
456,-36.78618870475151,-37.81720692892904,50,140,30,180
457,-36.83010890211145,-37.377442107884804,270,90,300,60
458,-36.7712659580159,-37.37734935025617,300,120,300,60
459,-36.69898557445464,-37.377328322348916,270,340,300,30
460,-36.692537273020605,-37.37743341572059,340,350,300,30
461,-36.79014358080104,-37.42417416065476,170,230,120,240
462,-36.777784455926195,-37.75873810651004,70,320,30,360
463,-36.7714919850053,-37.428888895900826,200,250,150,210
464,-36.81652372917404,-37.37744280499237,320,30,300,30
465,-36.78123142894819,-37.42889054108511,40,190,150,210
466,-36.78503668217206,-37.428881449768426,50,230,150,210
467,-36.77139483581581,-37.42427367525508,210,270,120,240
468,-36.81924943586404,-37.42462207575818,90,240,120,240
469,-36.875291011996836,-37.43389149954069,90,70,90,90
470,-36.78914068213089,-37.38462436524702,350,260,300,210
471,-36.786733678055896,-37.3773645575875,280,110,300,60
472,-36.71284608829578,-37.38462368893269,280,320,300,270
473,-36.74716418585004,-37.4288772306231,210,180,90,270
474,-36.82095551907602,-37.42877767073051,90,210,150,210
475,-36.75499273990093,-37.42882086040291,30,300,150,210
476,-36.8091981707137,-37.38462335122654,340,260,300,270
477,-36.75113840386106,-37.428881080689365,230,290,90,270
478,-36.775832334957784,-37.428889907810685,50,300,90,270
479,-36.775192865640065,-37.37743771871396,270,110,300,60
480,-36.72857864514202,-37.43391724734229,10,10,90,90
481,-36.860511865206206,-37.43393500509666,130,40,150,30
482,-36.812082080780584,-37.38448564027422,320,280,300,270
483,-36.71437266780717,-37.817207753022785,230,320,210,360
484,-36.80381106677211,-37.38456524282262,280,200,300,210
485,-36.746622091171986,-37.75872466887469,30,310,30,360
486,-36.72883718028709,-37.377444119176516,300,140,300,60
487,-36.801274599086184,-37.817207352258436,80,150,30,180
488,-36.80443428811088,-37.38461955911717,340,220,300,210
489,-36.746172865656234,-37.433933599533475,10,20,90,90
490,-36.78760035280888,-37.38460006423972,300,190,300,210
491,-36.85728656044611,-37.38450363796878,280,260,300,270
492,-36.71344252892575,-37.75873531398716,10,320,30,360
